ID,Alambre,D. Ext 1,D. Ext 2,Vueltas,D. Int 1,D. Int 2,Altura,Codigo_OSIS
138,17,187,-,6.375,113,85.5,300,6659
139,17,112,-,10.625,-,-,387,6829
140,13,123,-,8.5,-,67,375,6909
141,11.5,128,-,6.5,-,82,325,7280
142,11.5,100.6,-,8.375,-,-,312,7305
143,16,113,-,10.625,-,-,385,7789
144,13.5,109,-,9,-,72,343,7802
145,11,113,-,7.75,-,52,380,7806
146,13.5,164,109.5,7,-,-,340,7850
147,15,169,-,4.75,-,-,320,7950
148,13,141,-,6,-,-,330,7963
149,14,170,127,6,-,-,330,8154
150,14,173,-,4.25,-,125,342,8192
151,14,175,-,5.5,-,-,375,8194
152,14,167,-,6,-,123,410,8241
153,12,122,-,5.625,-,69.3,275,8249
154,12,146,-,5.625,-,86,338,8250
155,12,112,-,9.5,-,-,375,8269
156,12.5,160,-,5.25,119,82.5,340,8297
157,12,122,-,7,-,71,328,8493
158,12,154,-,5.625,126.5,101.5,365,8505
159,14,147,143,5,-,-,275,8545
160,13,144.5,-,6.625,-,86.2,330,8676
161,13,164,-,4.25,136,103,338,8751
162,13,142.5,-,6.5,-,86.5,332,8752
163,13,159.5,-,6.5,-,-,415,8759
164,13,163,109,7.75,-,-,390,8774
165,11.5,110,-,8.25,81.6,76.5,300,8775
166,12,139,-,5.375,111,99.5,340,8783
167,11,111,-,6.25,-,68,290,8811
168,13,151.5,-,5.75,-,-,380,8935
169,12.5,151,-,6,-,117,355,8941
170,12.5,129.5,-,6.25,95,95,295,9052
171,15,177.5,-,5,126.5,104.5,340,9077
172,15,128,-,6.5,76,63,320,9079
173,12,145.5,-,6.25,95,87.5,388,9160
174,12,135,-,4.75,60,43.6,248,9201
175,13.5,139,-,5.375,59.5,44,275,9243
176,13,150,-,5.5,48,48,255,9263
177,12.5,101.5,-,9.875,-,65,353,9281
178,11,92,-,9,-,-,270,9296
179,11.5,132,88,8.75,-,-,310,9315
180,10.5,112.5,-,8,54.8,54.8,338,9325
181,12,147.5,-,5.25,-,108,336,9464
182,13,148.5,-,5.625,-,108,326,9465
183,13,102,-,10.125,-,65,358,9471
184,13,139,-,5.5,-,99.6,309,9511
185,12.5,137,-,5.75,95,90.5,333,9542
186,12,141,-,4.75,95,90.5,322,9543
187,11,106,-,7.875,53.5,-,340,9638
188,12,142,-,7.5,80.4,78.7,385,9650
189,17,111,-,10,66,-,375,9670
190,11.5,122.5,-,6.5,-,83,295,9787
191,11.5,128.5,-,6.375,-,82,390,9814
192,10,110,-,7.5,79.5,75,291,9817
193,11.5,112,-,7.375,-,54,305,9841
194,10.5,104,-,8,-,69.5,326,9842
195,13,96.5,-,11.5,63,-,390,9895
196,11.5,142,-,5.75,-,-,340,9939
197,10.5,103.5,-,10.625,-,69.5,362,10084
198,10,103,-,9.25,-,69.5,366,10085
199,10.5,103,-,10.625,-,70,382,10092
200,12.5,151.5,-,4.75,-,-,342,10222
201,17,122.5,-,8.5,59.8,-,360,10260
202,12,140,-,6,-,-,345,10307
203,14,185,114,6.5,-,-,370,10324
204,11,123,-,5.5,90.6,84.2,360,10337
205,13,105,-,9.875,68.6,-,355,10361
206,12.5,127,-,6.375,71.3,63,335,10364
207,14,116.5,-,6.5,78,-,295,10392
208,12.5,130,87.5,8.625,-,-,305,10418
209,12,128,-,6.75,-,82,330,10464
210,13,135.5,-,5.375,-,100.3,278,10505
211,12.5,123.5,-,7.375,-,71,328,10550
212,13,154,-,4.75,-,102,307,10593
213,13,146,-,5.875,95.5,89,325,10781
214,12.5,116,-,11.5,-,80.5,412,10881
215,12.5,122,-,6,52.5,52.5,286,10918
216,12.5,110,-,11.5,-,-,440,10928
217,13,163,-,5,120.3,-,331.8,10947
218,12,106,-,8.375,62,-,340,11079
219,14,158.5,-,6.25,78.5,-,370,11094
220,13.5,145,-,5.75,-,82.5,323,11143
221,15,146,-,5.5,-,77,316,11145
222,9.5,99,-,6.25,-,68.5,260,11148
223,12.5,131.5,88,6.75,-,-,264,11159
224,15,168.5,-,5.5,-,-,355,11182
225,12.5,143.5,-,6.25,-,86,330,11283
226,10,99.5,-,6.875,-,68.5,280,11350
227,10,92,-,10.25,-,45.4,344,11417
228,11,108.5,-,7.5,-,-,357,11420
229,13,143.5,-,7.75,-,82,370,11435
230,13.5,166,-,4.375,120,-,320,11440
231,11,116,-,7.125,100,69,348,11441
232,13.5,132,-,5.25,-,59.5,308,11446
233,12.5,115.6,-,6.875,81.5,74.5,300,11449
234,16,111,-,9.125,-,-,365,11494
235,13.5,150.5,-,5.625,-,108,335,11628
236,12,107,-,7.875,-,-,315,11679
237,12,131.5,88,8.5,-,-,300,11680
238,12.5,157,-,5.25,-,82,350,11691
239,12.5,139,-,7,-,65.5,380,11706
240,13,139.5,-,7.5,-,65.7,374,11711
241,15,136,-,6.25,52,52,270,11760
242,13.5,154,-,5.625,-,83.5,349,11784
243,11,104,-,8.25,61,-,374,11817
244,11.5,124.5,-,6.125,91.5,82.5,339,11903
245,14.5,137,-,5.75,-,59.5,312,11925
246,13.5,102.5,-,9.625,-,60,321,11939
247,15,147,-,8.875,74,-,443,11945
248,18,125,-,8.5,-,65,334,12006
249,12.5,142,-,6,-,-,349,12014
250,14,125,-,9.5,-,-,395,12040
251,15,150,-,7.125,69,71,347,12041
252,16,171,-,5.5,92,92,348,12165
253,13,114,-,9.25,67,60,372,12166
254,13.5,140,-,7.25,-,-,415,12179
255,11.5,112,-,6.75,56,56,309,12181
256,13,141,-,5.5,87,104,290,12204
257,12.5,132,-,5.75,-,82,245,12274
258,13.5,117,-,7.125,81.5,74.5,315,12275
259,9,91,-,8.625,-,-,348,12317
260,15,145,-,5.5,-,76,310,12377
261,18,205,-,5,-,-,400,12451
262,11.5,97.5,-,8.75,-,63.5,287,12525
263,13.5,147,-,7,-,104,400,12540
264,14,137,-,5.875,-,-,325,12541
265,12.5,154,121,6,-,-,363,12546
266,17,127,-,7.75,73,-,350,12579
267,13,153,110,7,-,-,425,12583
268,14.5,165,-,5,103,84,304,12586
269,15,112,-,7.5,-,72,280,12718
270,11.5,106,-,8.75,-,73,325,12720
271,13.5,170,-,5,-,82.5,345,12721
272,11.5,114.5,-,7.375,90,90,335,12755
273,14.5,131,-,8.25,-,61,374,12841
274,11.5,150,90,7.75,-,-,370,12853
275,16,162,-,6.75,85,-,390,12870
276,14.5,176,-,6,-,135,340,12969
277,12,131,88,6.625,-,-,263,12978
